epoch,ntk_trace,ntk_cond,ntk_eff_rank,kta,lam_1,lam_2,accuracy
11,6707614.5,401.7349,1.2062339781209803,0.33015303057753503,6104945.5,109384.25,98.03833333333334
16,7652764.0,409.46826,1.2230850325159217,0.3311141590327232,6916495.5,138615.42,98.31333333333332
21,9085022.0,412.60495,1.223124759142895,0.3301674577789048,8210867.0,159680.23,98.57666666666668
26,10375823.0,360.58966,1.2375964331354683,0.3311304116892319,9322245.0,169313.58,98.69
31,10665529.0,351.34518,1.2503551053685154,0.33236865120957765,9532955.0,196805.72,98.81166666666668
36,10665529.0,351.34518,1.2503551053685154,0.33236865120957765,9532955.0,196805.72,98.83166666666666
