model_idx,epoch,activation,accuracy,ntk_trace,ntk_cond,ntk_spectral_gap,ntk_eff_rank,kta,top5_eigvals
0,11,relu,98.03833333333334,6707614.5,401.7349,5995561.0,1.2062339781209803,0.33015303057753503,"[6104945.5, 109384.25, 73681.40625, 46926.66796875, 43204.51953125]"
1,11,gelu,98.09166666666668,3109619.2,176.31058,2479371.5,1.4770734396609742,0.3488452446593333,"[2554588.25, 75216.765625, 52174.421875, 48704.90625, 41232.62109375]"
2,26,relu,98.69,10375823.0,360.58966,9152931.0,1.2375964331354683,0.3311304116892319,"[9322245.0, 169313.578125, 139091.90625, 80941.03125, 73750.0703125]"
3,26,gelu,98.695,5691064.5,213.56052,4481690.0,1.479450414695654,0.34709685490507314,"[4670060.0, 188370.1875, 102219.328125, 84906.828125, 75114.28125]"
4,36,relu,98.83166666666666,10665529.0,351.34518,9336149.0,1.2503551053685154,0.33236865120957765,"[9532955.0, 196805.71875, 136991.40625, 86629.65625, 77396.203125]"
5,36,gelu,98.64333333333336,6622740.5,177.28201,5005774.5,1.5841773505925627,0.3530871425549905,"[5247446.5, 241672.15625, 157327.734375, 113220.0, 101570.0234375]"
