,conv1_weights,conv2_weights,conv3_weights,fc1_weights,fc2_weights,biases
conv1_weights,1.0,0.2469037424719924,0.03685762720122496,-0.027395607259050568,0.37337065552302645,0.08579731558168144
conv2_weights,0.2469037424719924,0.9999999999999999,0.1805974426016656,0.18810182746201204,0.7072958653217098,0.7284195473251053
conv3_weights,0.03685762720122496,0.1805974426016656,1.0,0.3355170130838124,0.20880997115919558,0.2725736383912659
fc1_weights,-0.027395607259050568,0.18810182746201204,0.3355170130838124,1.0,0.1431389860454435,0.27001760272041775
fc2_weights,0.37337065552302645,0.7072958653217098,0.20880997115919558,0.1431389860454435,1.0,0.670910322599996
biases,0.08579731558168144,0.7284195473251053,0.2725736383912659,0.27001760272041775,0.670910322599996,1.0
