,fc1_neuron_0,fc1_neuron_1,fc1_neuron_2,fc1_neuron_3,fc1_neuron_4,fc1_neuron_5,fc1_neuron_6,fc1_neuron_7,fc1_neuron_8,fc1_neuron_9,fc1_neuron_10,fc1_neuron_11,fc1_neuron_12,fc1_neuron_13,fc1_neuron_14,fc1_neuron_15,fc1_neuron_16,fc1_neuron_17,fc1_neuron_18,fc1_neuron_19,fc1_neuron_20,fc1_neuron_21,fc1_neuron_22,fc1_neuron_23,fc1_neuron_24,fc1_neuron_25,fc1_neuron_26,fc1_neuron_27,fc1_neuron_28,fc1_neuron_29,fc1_neuron_30,fc1_neuron_31,fc1_neuron_32,fc1_neuron_33,fc1_neuron_34,fc1_neuron_35,fc1_neuron_36,fc1_neuron_37,fc1_neuron_38,fc1_neuron_39
fc1_neuron_0,1.0,-0.14366206792754954,-0.00013135619914563033,0.040524435611198784,-0.02803294006085937,0.02324050828143117,-0.0082783291343873,0.00966943036253372,-0.03126483702337684,0.0430160977276723,0.0068805860278845984,-0.04687005027598765,-0.009866454657189994,-0.014342529451805572,-0.04288165285750713,0.05652586547606805,0.014149636492290976,0.028579601237014023,-0.008421819045143974,-0.018987087461830685,,,,,,,,,,,,,,,,,,,,
fc1_neuron_1,-0.14366206792754954,1.0,-0.21177352843006073,0.06547937995035265,-0.021841337937920313,-0.025559525091314456,0.043459954403197304,-0.0047638706173128926,0.02443170810684898,-0.022139741761350043,0.02659747718778066,-0.014303928015659096,0.03175574127290084,0.0005236174225478251,-0.032938712936133666,-0.006505260470335394,-0.007011800738275795,0.01950499650181255,-0.10295905467516228,0.0037600804509465213,,,,,,,,,,,,,,,,,,,,
fc1_neuron_2,-0.00013135619914563033,-0.21177352843006073,1.0,-0.21447994033972095,-0.04855464845798076,-0.009758740335294919,0.03715135617796723,0.04246338721674454,-0.017304042614216593,-0.03026852523912952,0.05270077204903525,0.006224975112176153,-0.0015458929423717558,-0.007061459031317674,0.0708625190393705,-0.02863737777063048,-0.0462282133967139,0.014920923732910799,-0.013147908694996966,0.04207002767136344,,,,,,,,,,,,,,,,,,,,
fc1_neuron_3,0.040524435611198784,0.06547937995035265,-0.21447994033972095,1.0,-0.19731801716829056,0.023850094766984943,-0.0075484605372941865,-0.006513884131417382,0.013646993835319036,0.09670390443432014,-0.01828099406235312,0.020095044078896493,-0.009183363262147835,-0.014243640415430045,-0.03757697006856891,-0.03220534262396541,-0.03796461402976147,0.07100953532227278,0.0232288740922546,0.021710095319275105,,,,,,,,,,,,,,,,,,,,
fc1_neuron_4,-0.02803294006085937,-0.021841337937920313,-0.04855464845798076,-0.19731801716829056,1.0,-0.19313649608237968,-0.03745043916552554,-0.009604733979929073,0.010263841692091876,-0.06270358687426204,-0.05199278852513827,0.017030826400454616,-0.03501708111366876,0.027101678888165906,0.05671514453425043,-0.011245599577708989,0.01362595519048579,-0.028962989191293476,0.07996959998025002,-0.0010989258448658307,,,,,,,,,,,,,,,,,,,,
fc1_neuron_5,0.02324050828143117,-0.025559525091314456,-0.009758740335294919,0.023850094766984943,-0.19313649608237968,1.0,-0.19686738256793732,-0.039592904245612986,-0.01449755592289314,-0.078979298212309,0.043306598775650774,-0.02325516895848214,-0.014878147845654848,-0.012746414305353752,-0.0025340347887215214,0.008768187941610958,0.013154042806641765,0.09134091351367236,-0.022083537613388483,0.03529781641632466,,,,,,,,,,,,,,,,,,,,
fc1_neuron_6,-0.0082783291343873,0.043459954403197304,0.03715135617796723,-0.0075484605372941865,-0.03745043916552554,-0.19686738256793732,1.0,-0.1346080410369016,-0.030235747992673975,0.06259594270554032,-0.03104174931302748,0.07247331891094042,-0.025353919466771214,-0.025200242725833592,0.04703670159881775,0.020932617231171718,-0.035546673104325854,-0.019121029250958304,-0.01938265443893243,-0.10589755046770657,,,,,,,,,,,,,,,,,,,,
fc1_neuron_7,0.00966943036253372,-0.0047638706173128926,0.04246338721674454,-0.006513884131417382,-0.009604733979929073,-0.039592904245612986,-0.1346080410369016,1.0,-0.24159352336077924,0.031099734660415,0.04303342423939176,-0.03509245616335154,-0.009913131137252977,0.01401529460628148,0.022773201870264787,-0.015525262105652013,0.04366428420926326,-0.03173053434157372,-0.009059505662557003,-0.0036323813581758293,,,,,,,,,,,,,,,,,,,,
fc1_neuron_8,-0.03126483702337684,0.02443170810684898,-0.017304042614216593,0.013646993835319036,0.010263841692091876,-0.01449755592289314,-0.030235747992673975,-0.24159352336077924,1.0,-0.26669284941250604,-0.0062332077027063585,0.00823056242457663,0.007525282387565314,0.021769251226149804,0.07438283460473594,0.00046180240125836007,-0.003716195903469849,-0.0052361949411408246,-0.020508967579475828,-0.007883216038497029,,,,,,,,,,,,,,,,,,,,
fc1_neuron_9,0.0430160977276723,-0.022139741761350043,-0.03026852523912952,0.09670390443432014,-0.06270358687426204,-0.078979298212309,0.06259594270554032,0.031099734660415,-0.26669284941250604,1.0,-0.22477734284642562,0.10800737605397626,-0.028188916589328167,0.011688118135639896,-0.06772112903344917,-0.017944152546047823,0.04578489264775677,0.013124612503300805,0.013584819218455627,-0.03762253688134698,,,,,,,,,,,,,,,,,,,,
