,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,35.38820393202266,72.30923025658113,82.27257580806398,86.10463178940353,87.17094301899367,88.90369876707764,89.73675441519492,89.60346551149617,91.23625458180607,92.03598800399867
fold 1,92.40253248917027,92.76907697434189,93.40219926691104,93.5354881706098,93.83538820393203,94.3018993668777,94.86837720759746,94.701766077974,95.26824391869377,95.56814395201599
fold 2,93.9353548817061,94.83505498167277,94.86837720759746,95.56814395201599,95.5014995001666,96.03465511496168,95.83472175941353,96.26791069643453,96.4011996001333,96.80106631122959
fold 3,95.36821059646783,96.53448850383207,96.26791069643453,96.63445518160613,96.00133288903699,96.70109963345551,96.80106631122959,96.63445518160613,97.20093302232588,97.1676107964012
fold 4,95.53333333333333,96.13333333333334,96.73333333333333,97.23333333333333,97.33333333333334,97.26666666666667,97.33333333333334,97.6,97.93333333333332,98.0
fold 5,96.8,97.36666666666667,97.73333333333333,97.7,97.89999999999999,97.96666666666667,98.5,98.43333333333332,98.6,98.7
fold 6,96.5,97.3,97.76666666666667,97.33333333333334,98.16666666666667,98.03333333333333,98.2,98.43333333333332,98.63333333333333,98.83333333333333
fold 7,96.26666666666667,97.13333333333334,97.46666666666667,97.93333333333332,97.93333333333332,97.89999999999999,97.86666666666667,98.36666666666667,98.5,98.76666666666667
fold 8,97.3,97.86666666666667,98.23333333333333,98.63333333333333,98.6,98.8,98.9,99.26666666666667,98.9,98.93333333333332
fold 9,97.73333333333333,98.1,98.43333333333332,98.53333333333333,98.7,98.73333333333333,98.86666666666667,98.66666666666667,99.43333333333332,99.26666666666667
fold 10,98.13333333333333,98.46666666666667,98.7,98.7,98.76666666666667,98.93333333333332,99.06666666666666,99.26666666666667,99.0,99.2
fold 11,97.53333333333333,97.86666666666667,98.4,98.6,98.9,98.6,98.96666666666667,98.96666666666667,99.0,99.4
fold 12,97.86666666666667,98.56666666666666,98.56666666666666,98.93333333333332,98.93333333333332,99.1,99.46666666666667,99.3,99.5,99.63333333333333
fold 13,97.5,98.63333333333333,98.8,98.93333333333332,98.96666666666667,99.03333333333333,99.43333333333332,99.26666666666667,99.06666666666666,99.43333333333332
fold 14,98.03333333333333,98.36666666666667,99.2,99.0,98.96666666666667,99.43333333333332,99.56666666666666,99.4,99.56666666666666,99.8
fold 15,98.43333333333332,98.4,98.73333333333333,99.0,99.16666666666667,99.13333333333333,99.3,99.53333333333333,99.7,99.6
fold 16,98.1993997999333,98.53284428142715,98.73291097032345,99.09969989996665,98.53284428142715,98.96632210736912,99.33311103701233,99.46648882960987,99.33311103701233,99.69989996665555
fold 17,98.53284428142715,99.16638879626542,99.09969989996665,99.36645548516172,99.66655551850617,99.56652217405801,99.56652217405801,99.5998666222074,99.69989996665555,99.26642214071357
fold 18,97.86595531843948,98.49949983327775,98.73291097032345,99.1997332444148,99.36645548516172,99.46648882960987,99.6332110703568,99.6332110703568,99.46648882960987,99.66655551850617
fold 19,98.36612204068022,98.83294431477158,99.09969989996665,99.36645548516172,99.4331443814605,99.46648882960987,99.73324441480493,99.66655551850617,99.56652217405801,99.7999333111037
