,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,20.026657780739754,57.247584138620454,79.27357547484172,84.37187604131957,86.00466511162945,87.97067644118627,89.63678773742086,89.97000999666778,90.76974341886039,90.86971009663446
fold 1,91.03632122625791,92.36921026324558,92.10263245584805,92.76907697434189,92.90236587804065,92.76907697434189,93.9686771076308,94.10196601132955,94.60179940019994,94.701766077974
fold 2,93.06897700766412,93.36887704098635,94.03532155948018,94.03532155948018,94.46851049650117,94.46851049650117,95.20159946684439,94.66844385204932,95.20159946684439,95.03498833722092
fold 3,95.00166611129623,95.66811062979006,96.06797734088637,95.56814395201599,96.00133288903699,96.03465511496168,96.30123292235922,96.43452182605799,96.7344218593802,96.7677440853049
fold 4,96.06666666666666,96.0,96.6,96.33333333333334,96.43333333333334,96.66666666666667,96.89999999999999,97.2,97.23333333333333,96.86666666666667
fold 5,96.23333333333333,96.83333333333334,97.23333333333333,97.06666666666666,97.53333333333333,97.46666666666667,97.46666666666667,97.23333333333333,97.86666666666667,98.06666666666666
fold 6,96.7,97.06666666666666,97.46666666666667,97.56666666666666,97.56666666666666,97.39999999999999,97.93333333333332,98.0,97.96666666666667,98.03333333333333
fold 7,96.83333333333334,97.03333333333333,97.13333333333334,97.43333333333334,97.66666666666667,97.53333333333333,97.56666666666666,97.96666666666667,98.06666666666666,97.96666666666667
fold 8,96.76666666666667,97.33333333333334,97.56666666666666,97.66666666666667,97.93333333333332,97.66666666666667,98.2,98.06666666666666,98.46666666666667,98.5
fold 9,97.33333333333334,97.86666666666667,97.89999999999999,98.13333333333333,98.16666666666667,98.43333333333332,98.3,98.56666666666666,98.66666666666667,98.5
fold 10,97.73333333333333,98.46666666666667,98.53333333333333,98.66666666666667,99.06666666666666,99.06666666666666,99.3,98.83333333333333,99.36666666666667,99.3
fold 11,97.7,97.96666666666667,98.16666666666667,98.63333333333333,98.9,98.86666666666667,98.96666666666667,98.86666666666667,98.93333333333332,98.93333333333332
fold 12,97.73333333333333,98.16666666666667,98.36666666666667,98.36666666666667,98.53333333333333,98.8,99.0,99.13333333333333,98.96666666666667,99.1
fold 13,97.39999999999999,98.26666666666667,98.03333333333333,98.73333333333333,98.86666666666667,99.06666666666666,98.96666666666667,98.93333333333332,99.06666666666666,99.43333333333332
fold 14,97.86666666666667,98.36666666666667,98.86666666666667,98.43333333333332,98.3,98.46666666666667,98.9,99.0,99.23333333333333,99.33333333333333
fold 15,98.33333333333333,98.36666666666667,98.73333333333333,99.1,98.96666666666667,99.2,99.43333333333332,99.2,99.53333333333333,99.3
fold 16,97.79926642214072,98.76625541847282,98.73291097032345,98.79959986662222,98.73291097032345,98.5995331777259,99.13304434811604,99.36645548516172,99.06635545181727,99.3997999333111
fold 17,98.36612204068022,98.86628876292097,99.06635545181727,99.16638879626542,99.26642214071357,99.3997999333111,99.49983327775925,99.6332110703568,99.66655551850617,99.73324441480493
fold 18,97.93264421473825,98.432810936979,98.73291097032345,98.89963321107035,98.89963321107035,99.13304434811604,99.29976658886297,99.26642214071357,99.73324441480493,99.69989996665555
fold 19,98.5995331777259,99.06635545181727,99.4331443814605,99.29976658886297,99.69989996665555,99.66655551850617,99.66655551850617,99.6332110703568,99.5998666222074,99.93331110370124
