,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,23.825391536154616,55.981339553482165,75.24158613795402,82.40586471176275,86.43785404865045,89.30356547817394,90.46984338553816,91.40286571142953,89.03698767077641,92.30256581139619
fold 1,92.63578807064312,93.00233255581473,93.5354881706098,94.63512162612463,94.73508830389869,94.86837720759746,95.10163278907031,94.90169943352215,95.23492169276908,95.76807730756414
fold 2,94.16861046317894,95.10163278907031,95.10163278907031,95.26824391869377,95.70143285571476,95.83472175941353,96.10129956681106,95.80139953348883,96.06797734088637,95.40153282239253
fold 3,95.33488837054314,96.20126624458514,95.90136621126291,96.03465511496168,96.53448850383207,93.60213262245918,96.7344218593802,95.9346884371876,96.86771076307897,97.03432189270244
fold 4,95.5,96.36666666666667,96.0,96.1,96.43333333333334,96.3,96.89999999999999,96.8,96.63333333333334,96.73333333333333
fold 5,96.23333333333333,96.6,96.76666666666667,96.96666666666667,97.53333333333333,97.23333333333333,97.13333333333334,97.43333333333334,97.86666666666667,97.3
fold 6,96.53333333333333,96.73333333333333,96.63333333333334,97.13333333333334,96.89999999999999,97.0,97.33333333333334,97.7,97.76666666666667,98.06666666666666
fold 7,96.0,97.56666666666666,97.5,97.43333333333334,97.8,97.6,97.63333333333334,98.06666666666666,97.76666666666667,97.73333333333333
fold 8,96.89999999999999,97.16666666666667,97.56666666666666,98.16666666666667,97.76666666666667,98.13333333333333,97.76666666666667,98.03333333333333,98.2,98.13333333333333
fold 9,97.2,97.96666666666667,98.36666666666667,97.96666666666667,98.33333333333333,98.3,98.36666666666667,98.33333333333333,98.7,98.7
fold 10,97.33333333333334,98.13333333333333,97.96666666666667,98.5,98.43333333333332,98.73333333333333,98.7,98.7,98.83333333333333,98.56666666666666
fold 11,97.43333333333334,98.06666666666666,98.2,98.23333333333333,98.46666666666667,98.73333333333333,98.76666666666667,98.96666666666667,99.0,98.8
fold 12,97.8,98.16666666666667,98.46666666666667,98.36666666666667,98.93333333333332,98.93333333333332,98.9,98.8,99.3,99.13333333333333
fold 13,97.7,98.4,98.3,98.56666666666666,98.9,98.83333333333333,98.96666666666667,99.03333333333333,99.06666666666666,99.16666666666667
fold 14,97.93333333333332,98.46666666666667,98.56666666666666,98.8,98.83333333333333,99.0,99.06666666666666,99.2,99.4,99.13333333333333
fold 15,98.16666666666667,98.53333333333333,98.66666666666667,99.0,98.63333333333333,98.93333333333332,99.13333333333333,99.06666666666666,99.03333333333333,98.73333333333333
fold 16,97.79926642214072,98.53284428142715,98.73291097032345,98.79959986662222,99.06635545181727,98.96632210736912,99.33311103701233,99.29976658886297,99.1997332444148,99.3997999333111
fold 17,98.13271090363455,98.86628876292097,99.0330110036679,99.1997332444148,99.23307769256418,99.23307769256418,99.26642214071357,99.1997332444148,99.53317772590864,99.66655551850617
fold 18,97.89929976658887,98.46615538512837,98.83294431477158,98.96632210736912,99.29976658886297,99.1997332444148,99.29976658886297,99.26642214071357,99.3997999333111,99.46648882960987
fold 19,98.09936645548515,98.79959986662222,98.93297765921974,99.06635545181727,99.09969989996665,99.26642214071357,99.49983327775925,99.53317772590864,99.56652217405801,99.26642214071357
