,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,11.629456847717428,43.15228257247584,72.74241919360213,81.93935354881707,84.6717760746418,85.27157614128625,87.50416527824059,89.17027657447517,90.40319893368877,90.50316561146285
fold 1,91.36954348550483,91.80273242252582,91.80273242252582,90.90303232255916,92.56914361879373,93.36887704098635,93.80206597800733,92.33588803732088,94.13528823725424,93.43552149283573
fold 2,92.80239920026658,93.80206597800733,94.3018993668777,94.40186604465178,94.701766077974,94.73508830389869,93.06897700766412,95.63478840386537,95.06831056314562,95.66811062979006
fold 3,94.16861046317894,95.20159946684439,94.83505498167277,95.73475508163945,95.56814395201599,95.90136621126291,96.30123292235922,96.00133288903699,96.10129956681106,96.16794401866045
fold 4,95.1,95.89999999999999,95.83333333333334,96.3,95.86666666666666,96.33333333333334,96.56666666666666,96.46666666666667,96.76666666666667,96.73333333333333
fold 5,96.23333333333333,96.26666666666667,96.43333333333334,96.76666666666667,96.8,97.03333333333333,97.3,96.93333333333334,97.36666666666667,97.56666666666666
fold 6,96.76666666666667,97.5,97.0,97.36666666666667,97.36666666666667,97.13333333333334,97.43333333333334,97.5,97.26666666666667,97.6
fold 7,95.89999999999999,96.89999999999999,96.76666666666667,97.13333333333334,97.0,97.36666666666667,97.1,97.26666666666667,97.6,97.56666666666666
fold 8,96.86666666666667,97.5,97.56666666666666,97.36666666666667,97.83333333333334,97.66666666666667,98.03333333333333,98.03333333333333,98.2,97.96666666666667
fold 9,97.1,97.46666666666667,97.7,98.23333333333333,97.93333333333332,98.2,98.36666666666667,98.46666666666667,98.5,98.33333333333333
fold 10,97.83333333333334,98.1,98.3,98.3,98.36666666666667,98.9,98.5,98.9,98.8,99.16666666666667
fold 11,97.63333333333334,98.1,98.36666666666667,98.43333333333332,98.3,98.56666666666666,98.76666666666667,98.76666666666667,98.83333333333333,98.8
fold 12,97.56666666666666,98.06666666666666,98.2,98.53333333333333,98.66666666666667,98.53333333333333,98.8,98.83333333333333,98.8,99.0
fold 13,97.86666666666667,97.89999999999999,98.4,98.63333333333333,98.7,98.63333333333333,98.63333333333333,98.96666666666667,98.93333333333332,99.06666666666666
fold 14,97.56666666666666,98.13333333333333,98.5,98.63333333333333,98.53333333333333,98.83333333333333,98.76666666666667,99.06666666666666,98.86666666666667,98.96666666666667
fold 15,97.8,98.46666666666667,98.66666666666667,98.53333333333333,98.73333333333333,99.1,99.03333333333333,99.06666666666666,99.06666666666666,99.1
fold 16,98.0326775591864,98.5995331777259,98.46615538512837,98.93297765921974,99.09969989996665,99.06635545181727,98.9996665555185,99.1997332444148,99.56652217405801,99.49983327775925
fold 17,98.432810936979,98.79959986662222,98.76625541847282,98.86628876292097,98.9996665555185,99.4331443814605,99.4331443814605,99.1997332444148,99.3997999333111,99.5998666222074
fold 18,98.13271090363455,98.56618872957652,98.69956652217405,98.96632210736912,99.13304434811604,99.16638879626542,99.36645548516172,99.56652217405801,99.6332110703568,99.5998666222074
fold 19,98.39946648882962,98.79959986662222,98.66622207402467,99.06635545181727,99.23307769256418,99.1997332444148,99.33311103701233,99.49983327775925,99.56652217405801,99.46648882960987
