,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,16.76107964011996,47.684105298233916,76.34121959346885,84.40519826724426,86.73775408197267,88.6704431856048,89.97000999666778,91.00299900033322,92.13595468177274,92.23592135954681
fold 1,92.46917694101965,93.33555481506166,93.66877707430857,94.20193268910363,94.46851049650117,94.3352215928024,95.134955014995,95.20159946684439,95.66811062979006,95.06831056314562
fold 2,94.20193268910363,94.83505498167277,95.00166611129623,95.26824391869377,95.33488837054314,95.56814395201599,95.80139953348883,96.00133288903699,95.80139953348883,96.30123292235922
fold 3,95.90136621126291,95.76807730756414,96.60113295568144,96.4011996001333,96.33455514828391,96.86771076307897,96.7677440853049,97.13428857047651,97.23425524825058,97.23425524825058
fold 4,96.36666666666667,96.93333333333334,96.73333333333333,96.86666666666667,97.0,97.33333333333334,97.5,97.16666666666667,97.6,97.86666666666667
fold 5,96.8,97.16666666666667,97.33333333333334,97.63333333333334,97.76666666666667,97.63333333333334,97.86666666666667,97.8,98.06666666666666,97.96666666666667
fold 6,97.23333333333333,97.7,97.86666666666667,98.16666666666667,98.2,98.4,98.1,98.66666666666667,98.5,98.63333333333333
fold 7,96.76666666666667,97.1,97.39999999999999,97.86666666666667,97.89999999999999,98.1,97.76666666666667,97.89999999999999,98.33333333333333,97.83333333333334
fold 8,97.66666666666667,98.06666666666666,98.26666666666667,97.83333333333334,98.46666666666667,98.23333333333333,98.63333333333333,98.36666666666667,98.93333333333332,98.43333333333332
fold 9,97.89999999999999,98.0,98.33333333333333,98.83333333333333,98.86666666666667,98.3,98.7,99.0,99.13333333333333,99.1
fold 10,97.73333333333333,98.1,98.3,98.4,98.83333333333333,98.33333333333333,98.6,99.03333333333333,98.9,99.26666666666667
fold 11,98.1,98.63333333333333,98.86666666666667,98.96666666666667,99.03333333333333,99.33333333333333,99.1,98.76666666666667,99.06666666666666,99.26666666666667
fold 12,98.43333333333332,98.46666666666667,98.7,99.1,99.06666666666666,99.36666666666667,99.36666666666667,99.4,99.2,99.33333333333333
fold 13,98.13333333333333,98.33333333333333,98.7,98.93333333333332,98.56666666666666,98.86666666666667,98.76666666666667,99.23333333333333,99.03333333333333,99.46666666666667
fold 14,98.03333333333333,98.63333333333333,98.53333333333333,98.93333333333332,98.93333333333332,99.3,99.26666666666667,99.3,99.36666666666667,99.26666666666667
fold 15,98.2,99.0,98.93333333333332,99.1,99.36666666666667,99.26666666666667,99.13333333333333,99.13333333333333,99.43333333333332,99.5
fold 16,98.29943314438147,98.53284428142715,98.66622207402467,99.13304434811604,99.06635545181727,99.16638879626542,99.09969989996665,99.26642214071357,99.1997332444148,99.3997999333111
fold 17,98.26608869623207,98.6328776258753,99.0330110036679,99.06635545181727,99.26642214071357,99.3997999333111,99.33311103701233,99.23307769256418,99.5998666222074,99.5998666222074
fold 18,98.36612204068022,98.79959986662222,98.89963321107035,98.89963321107035,99.26642214071357,99.36645548516172,99.26642214071357,99.26642214071357,99.23307769256418,99.5998666222074
fold 19,98.39946648882962,98.86628876292097,99.09969989996665,99.06635545181727,99.33311103701233,99.16638879626542,99.36645548516172,99.6332110703568,99.6332110703568,99.49983327775925
