Experiment,Loss_Type,Epoch,Scenario,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_MAPE,PD_vs_FN_Wasserstein,PD_vs_FN_JS_Divergence,PD_vs_FN_KL_Divergence,PD_vs_FN_Cosine_Sim,PD_vs_FN_Pearson_Corr,PD_vs_FN_AUTO_Loss
sinkhorn 2025-11-03 16:02:07.335521 750_epoch399,sinkhorn 2025-11-03 16:02:07.335521 750,399,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05505978406555342,0.17760329395669983,3139.218467134986,0.048244824936872065,0.1775333582180446,0.873921152585985,0.2523844176744976,0.2517263606910825,0.10270720262241019
sinkhorn 2025-11-03 16:02:07.335521 750_epoch449,sinkhorn 2025-11-03 16:02:07.335521 750,449,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.08079151986030844,0.21023197285438425,1732.61778746074,0.03131468989301909,0.15068327121741384,0.7514166126509907,0.07602994851311858,0.07540680032453241,0.11671746490078387
sinkhorn 2025-11-20 09:29:48.453823 750_epoch49,sinkhorn 2025-11-20 09:29:48.453823 750,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.026956591516221023,0.12740555769430514,223.40852780858552,0.024399414597127477,0.0919746665041028,0.4436044381355809,0.587977839665744,0.5864459278949764,0.06308165348461572
sinkhorn 2025-11-20 09:29:48.453823 750_epoch99,sinkhorn 2025-11-20 09:29:48.453823 750,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.024859473759045084,0.11513602816730713,5017.052796460515,0.09993997970467314,0.1631342647313106,0.7881835384525943,0.29927153065831774,0.31275377080004374,0.08078602036787585
sinkhorn 2025-11-20 09:29:48.453823 750_epoch149,sinkhorn 2025-11-20 09:29:48.453823 750,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06077210312030252,0.19805903293086247,464.6229251309034,0.02470213927132335,0.13507798053810252,0.6617225502496772,-0.056272326895017225,-0.06092580671685928,0.10217477703545466
sinkhorn 2025-11-20 09:29:48.453823 750_epoch199,sinkhorn 2025-11-20 09:29:48.453823 750,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.026139127382809293,0.11698274577562894,3781.0303563279463,0.09904988788085153,0.16183556687709347,0.7988027421977483,0.2897849970444478,0.2966007528160147,0.08154400894969205
sinkhorn 2025-11-20 09:29:48.453823 750_epoch249,sinkhorn 2025-11-20 09:29:48.453823 750,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.022960554196002753,0.11283942403310653,7049.764687895626,0.09934994483009607,0.1624384779904941,0.7854450248882265,0.2877276022321548,0.299470432782969,0.07914988565340168
sinkhorn 2025-11-20 09:29:48.453823 750_epoch299,sinkhorn 2025-11-20 09:29:48.453823 750,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.02316778135218689,0.11512200819254938,3452.805445027949,0.10258273460019518,0.15767463602595846,0.7629626651563778,0.2914723418079056,0.31197195852249177,0.08008772552127445
sinkhorn_epoch0,sinkhorn,0,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.032975228626116564,0.12972001390527288,1034.105560900806,0.09298533770954569,0.12383051602052726,0.5890999950544378,0.46796796673942515,0.466956592595619,0.08308621476599035
sinkhorn_epoch0,sinkhorn,0,"overlapping 1 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 31 gelu",0.029719418382595467,0.11403801851429046,532.9946234920471,0.018418556739421738,0.027114599575857577,0.11886964901952707,0.953392322201533,0.9537938436243931,0.05249434421279543
