Experiment,Loss_Type,Epoch,Layer,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_Wasserstein,PD_vs_FN_Cosine_Sim
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_4,0.014637846239184743,0.09203799232800755,0.0862641820896469,0.13712008037084633
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_5,0.0190877131222666,0.10715129698960546,0.10182662192106232,0.04408448499039253
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_1,0.07307869921992813,0.22604528185626344,0.22120750457964072,0.041193347171948995
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_2,0.038934872009454155,0.14146375810564876,0.1353494060848185,0.05988378462129229
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_3,0.027456281723773485,0.13125443740831014,0.12676308110742504,0.26637439282189623
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_4,0.011222840662177682,0.07413721761745382,0.06782776334615202,0.1399784309291329
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_5,0.02319046677472597,0.12165876427653062,0.1157170297276537,-0.03085532496832469
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_1,0.06899399354302077,0.21354927412425695,0.21133863633331684,0.05527098763476646
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_2,0.03588942012570331,0.14026220876091047,0.13747835789619214,0.0035292256497346185
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_3,0.01683528002007203,0.098658537049375,0.09659511270119882,0.13810399178550883
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_4,0.008922140804491491,0.0672109042501769,0.06385504482864729,0.03334579619120242
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_5,0.019993244190498204,0.11122915756645622,0.10862766916054879,0.17623563142881032
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_1,0.083865472696772,0.22746064864103577,0.14813999660212063,-0.20136855891238759
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_2,0.05403879762642908,0.1757217502335408,0.12085859873705997,-0.044477885632840344
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_3,0.06751897664065465,0.20864752575594941,0.13917881819121838,0.27164012639619706
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_4,0.0229682331659399,0.12180669786218012,0.04996921868783628,-0.012121408324531353
