,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,15.961346217927359,57.14761746084639,75.87470843052316,82.00599800066645,84.70509830056648,86.27124291902699,88.40386537820727,89.53682105964678,90.26991002999,91.5028323892036
fold 1,91.9026991002999,92.56914361879373,92.63578807064312,93.5021659446851,93.60213262245918,93.26891036321227,94.56847717427524,94.60179940019994,94.3018993668777,95.46817727424191
fold 2,93.73542152615795,94.56847717427524,94.80173275574808,95.36821059646783,94.83505498167277,95.5348217260913,95.60146617794068,95.60146617794068,95.63478840386537,96.00133288903699
fold 3,95.43485504831722,95.9680106631123,96.06797734088637,96.03465511496168,96.56781072975674,96.56781072975674,96.60113295568144,96.56781072975674,96.86771076307897,96.90103298900367
fold 4,95.06666666666666,95.83333333333334,96.1,95.93333333333334,96.86666666666667,97.0,96.96666666666667,96.76666666666667,97.2,96.89999999999999
fold 5,95.93333333333334,96.36666666666667,96.56666666666666,96.8,97.06666666666666,97.23333333333333,97.23333333333333,97.36666666666667,97.5,97.86666666666667
fold 6,96.33333333333334,96.6,96.7,97.13333333333334,97.0,97.26666666666667,97.66666666666667,97.56666666666666,97.83333333333334,97.96666666666667
fold 7,96.73333333333333,96.89999999999999,96.96666666666667,97.1,97.6,97.56666666666666,97.5,97.76666666666667,97.96666666666667,97.96666666666667
fold 8,97.06666666666666,97.43333333333334,97.83333333333334,98.13333333333333,98.03333333333333,98.23333333333333,98.16666666666667,98.2,98.7,99.0
fold 9,97.0,97.93333333333332,98.13333333333333,98.16666666666667,98.2,98.26666666666667,98.66666666666667,98.76666666666667,98.96666666666667,99.06666666666666
fold 10,98.0,98.26666666666667,98.73333333333333,98.76666666666667,99.1,98.7,99.1,99.26666666666667,99.33333333333333,99.43333333333332
fold 11,97.7,98.56666666666666,98.36666666666667,98.6,98.5,98.76666666666667,99.26666666666667,98.9,99.03333333333333,98.86666666666667
fold 12,98.16666666666667,98.5,98.56666666666666,98.9,98.76666666666667,98.96666666666667,98.93333333333332,99.2,99.26666666666667,99.36666666666667
fold 13,97.8,98.03333333333333,98.4,98.53333333333333,98.83333333333333,98.86666666666667,99.1,98.9,98.8,99.1
fold 14,97.76666666666667,98.33333333333333,98.36666666666667,98.63333333333333,98.86666666666667,98.93333333333332,99.1,99.3,99.23333333333333,99.23333333333333
fold 15,98.1,98.3,98.66666666666667,98.8,98.96666666666667,99.0,99.23333333333333,99.06666666666666,99.36666666666667,99.2
fold 16,97.99933311103702,98.39946648882962,98.56618872957652,98.76625541847282,99.29976658886297,99.23307769256418,99.13304434811604,99.06635545181727,99.46648882960987,99.49983327775925
fold 17,98.46615538512837,98.9996665555185,99.26642214071357,99.06635545181727,99.4331443814605,99.56652217405801,99.06635545181727,99.73324441480493,99.73324441480493,99.83327775925308
fold 18,98.432810936979,98.73291097032345,99.16638879626542,99.1997332444148,99.33311103701233,99.1997332444148,99.23307769256418,99.49983327775925,99.49983327775925,99.73324441480493
fold 19,98.49949983327775,98.69956652217405,99.23307769256418,99.3997999333111,98.9996665555185,99.49983327775925,99.46648882960987,99.5998666222074,99.6332110703568,99.83327775925308
