,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,22.492502499166946,64.01199600133289,74.57514161946018,79.84005331556148,83.33888703765412,85.80473175608131,87.27090969676775,88.6371209596801,89.70343218927025,90.56981006331223
fold 1,91.0696434521826,90.703098967011,91.9026991002999,92.63578807064312,92.96901032989004,93.30223258913696,93.43552149283573,93.86871042985672,93.56881039653449,94.36854381872709
fold 2,93.73542152615795,94.10196601132955,94.50183272242586,94.36854381872709,94.701766077974,95.5348217260913,95.20159946684439,95.16827724091969,95.30156614461846,95.16827724091969
fold 3,94.76841052982338,95.46817727424191,95.26824391869377,95.36821059646783,95.83472175941353,95.76807730756414,95.80139953348883,96.03465511496168,95.80139953348883,96.16794401866045
fold 4,95.56666666666666,96.3,95.89999999999999,96.6,96.33333333333334,96.86666666666667,96.5,97.1,96.16666666666667,97.16666666666667
fold 5,95.93333333333334,96.76666666666667,97.26666666666667,97.16666666666667,96.96666666666667,97.36666666666667,97.36666666666667,97.46666666666667,97.76666666666667,97.76666666666667
fold 6,96.39999999999999,96.96666666666667,97.39999999999999,97.5,97.6,97.7,98.03333333333333,97.89999999999999,98.2,98.26666666666667
fold 7,96.23333333333333,97.13333333333334,97.5,97.1,97.56666666666666,97.56666666666666,97.76666666666667,97.83333333333334,98.3,98.16666666666667
fold 8,96.83333333333334,97.26666666666667,97.8,97.76666666666667,97.73333333333333,97.86666666666667,98.13333333333333,97.89999999999999,98.43333333333332,98.43333333333332
fold 9,97.43333333333334,97.39999999999999,97.76666666666667,98.13333333333333,98.23333333333333,98.4,98.36666666666667,98.56666666666666,98.83333333333333,98.76666666666667
fold 10,97.76666666666667,98.03333333333333,98.23333333333333,98.26666666666667,98.4,98.36666666666667,98.63333333333333,98.8,99.0,99.03333333333333
fold 11,97.56666666666666,98.03333333333333,98.43333333333332,97.83333333333334,98.53333333333333,98.5,98.76666666666667,98.66666666666667,98.86666666666667,98.96666666666667
fold 12,97.83333333333334,98.0,97.73333333333333,98.6,98.86666666666667,98.73333333333333,98.8,98.76666666666667,99.2,99.46666666666667
fold 13,97.46666666666667,98.33333333333333,98.36666666666667,98.43333333333332,98.93333333333332,98.6,99.03333333333333,99.16666666666667,99.23333333333333,99.3
fold 14,97.6,97.93333333333332,98.4,98.36666666666667,98.63333333333333,98.33333333333333,98.66666666666667,98.93333333333332,98.76666666666667,98.8
fold 15,97.6,98.33333333333333,98.33333333333333,98.43333333333332,98.36666666666667,98.8,99.0,98.93333333333332,99.2,99.23333333333333
fold 16,97.86595531843948,98.46615538512837,98.89963321107035,98.83294431477158,98.9996665555185,99.13304434811604,99.06635545181727,99.29976658886297,99.1997332444148,99.36645548516172
fold 17,98.26608869623207,98.5995331777259,99.0330110036679,99.26642214071357,98.9996665555185,99.33311103701233,99.33311103701233,99.56652217405801,99.49983327775925,99.73324441480493
fold 18,98.0326775591864,98.69956652217405,99.26642214071357,99.33311103701233,99.46648882960987,99.4331443814605,99.6332110703568,99.76658886295432,99.53317772590864,99.3997999333111
fold 19,98.06602200733577,98.6328776258753,98.89963321107035,98.86628876292097,99.09969989996665,99.33311103701233,99.4331443814605,99.36645548516172,99.23307769256418,99.56652217405801
