,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,24.32522492502499,66.377874041986,76.541152949017,82.10596467844053,84.83838720426525,87.63745418193936,88.83705431522826,90.13662112629123,91.23625458180607,91.66944351882705
fold 1,91.93602132622459,93.10229923358881,93.23558813728758,94.16861046317894,94.3352215928024,94.3018993668777,94.66844385204932,95.43485504831722,94.93502165944685,95.23492169276908
fold 2,94.701766077974,94.63512162612463,95.5014995001666,96.03465511496168,96.03465511496168,96.3678773742086,96.83438853715428,96.4011996001333,96.66777740753082,97.20093302232588
fold 3,96.10129956681106,96.20126624458514,96.83438853715428,97.00099966677774,97.23425524825058,96.7677440853049,96.86771076307897,97.43418860379873,95.36821059646783,97.06764411862713
fold 4,95.93333333333334,96.7,96.96666666666667,97.23333333333333,97.23333333333333,97.66666666666667,97.43333333333334,97.66666666666667,97.83333333333334,98.0
fold 5,96.7,97.0,97.46666666666667,97.8,97.43333333333334,97.66666666666667,97.93333333333332,98.26666666666667,97.83333333333334,98.36666666666667
fold 6,97.06666666666666,97.33333333333334,97.63333333333334,97.86666666666667,98.0,98.2,97.89999999999999,98.26666666666667,98.73333333333333,98.46666666666667
fold 7,97.16666666666667,97.53333333333333,97.53333333333333,97.93333333333332,97.43333333333334,98.3,98.36666666666667,98.53333333333333,98.5,98.66666666666667
fold 8,97.39999999999999,97.93333333333332,98.2,98.36666666666667,98.43333333333332,98.3,98.63333333333333,98.9,99.03333333333333,98.73333333333333
fold 9,97.93333333333332,98.4,98.7,98.83333333333333,98.76666666666667,99.2,98.9,99.03333333333333,99.36666666666667,99.56666666666666
fold 10,98.06666666666666,98.53333333333333,98.6,98.96666666666667,99.03333333333333,99.2,99.1,99.3,99.66666666666667,99.5
fold 11,98.3,98.43333333333332,98.36666666666667,99.06666666666666,99.0,99.23333333333333,99.16666666666667,99.3,99.2,99.33333333333333
fold 12,97.89999999999999,98.03333333333333,98.7,98.83333333333333,98.96666666666667,99.06666666666666,98.76666666666667,99.0,99.36666666666667,99.66666666666667
fold 13,98.1,98.26666666666667,98.03333333333333,98.7,98.73333333333333,99.03333333333333,99.2,99.16666666666667,98.96666666666667,99.4
fold 14,98.3,98.96666666666667,99.0,99.13333333333333,99.06666666666666,99.26666666666667,99.13333333333333,99.06666666666666,99.63333333333333,99.53333333333333
fold 15,98.43333333333332,98.73333333333333,98.96666666666667,99.1,99.06666666666666,99.26666666666667,99.36666666666667,99.26666666666667,99.43333333333332,99.33333333333333
fold 16,98.46615538512837,98.53284428142715,98.66622207402467,99.13304434811604,98.9996665555185,99.36645548516172,99.33311103701233,99.46648882960987,99.46648882960987,99.53317772590864
fold 17,98.29943314438147,98.86628876292097,99.26642214071357,99.16638879626542,99.36645548516172,99.5998666222074,99.69989996665555,99.49983327775925,99.76658886295432,99.76658886295432
fold 18,98.49949983327775,99.09969989996665,99.1997332444148,99.46648882960987,99.53317772590864,99.73324441480493,99.56652217405801,99.69989996665555,99.76658886295432,99.7999333111037
fold 19,98.83294431477158,99.06635545181727,99.36645548516172,99.46648882960987,99.0330110036679,99.56652217405801,99.86662220740247,99.86662220740247,99.76658886295432,99.7999333111037
