label,activation,n_epochs,osc_fraction,mean_osc_ratio,median_osc_ratio,mean_traj_std,n_highly_osc
"[0, 1]",relu,6,0.009796598270516285,0.09989280633942889,0.012829325626801589,0.02762436413275144,173
"[0, 1]",gelu,6,0.011158093926865233,0.09836191191153994,0.014381717632277828,0.028745790464580354,163
"[0, 1, 3, 7, 8, 9]",relu,6,0.012108837100119634,0.1027652000593163,0.01477949537536252,0.030739993588147004,176
"[0, 1, 3, 7, 8, 9]",gelu,6,0.012722686001839496,0.1044080409045691,0.014667553611386195,0.029684712993222413,175
"[0, 1, 3, 4, 6, 9]",relu,6,0.013402823582727137,0.10748577201273092,0.01684930926467862,0.02998608388113503,188
"[0, 1, 3, 4, 6, 9]",gelu,6,0.013837660386007967,0.11199695998245145,0.01793142964163619,0.03099917838085825,198
"[0, 1, 3, 4, 7, 8]",relu,6,0.012144934030087835,0.1082146056186785,0.016520748758134765,0.029289779208805367,184
"[0, 1, 3, 4, 7, 8]",gelu,6,0.017823766914766698,0.11395630253455691,0.017445666750974503,0.0350637751288696,198
