,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,2.0937925286071244,1.114014514656954,0.605934189502583,0.4534886118977569,0.38183281769932703,0.3354391797857229,0.2984541752050782,0.2764400207805772,0.2549705017184795,0.24189408885878186
fold 1,0.2325314987710742,0.20717528973554455,0.19734666081751848,0.18150966328590415,0.17651619025787643,0.1679697936227502,0.1599388453286401,0.15348692924910506,0.14230002616640441,0.1453887074319429
fold 2,0.17255816789517223,0.15181578046014144,0.1482569074994603,0.13485277294679437,0.13154292102296686,0.1341156693565291,0.12268710181896769,0.11576847684418046,0.11303225384353725,0.09928492012671954
fold 3,0.13831443741895952,0.12404062029320834,0.11543128843051056,0.10843879681860291,0.1075984732312865,0.10966159619369306,0.10444428294160685,0.0916958304533605,0.09423766702110338,0.09731419011409026
fold 4,0.11735911220095532,0.11277713420865841,0.09825202423082881,0.10069891268950562,0.08643174529357185,0.08848493810483189,0.08491637070966494,0.07828224999396953,0.07555461397697759,0.06719339487879256
fold 5,0.10544539874332935,0.09176280301843964,0.09280313606114061,0.08133160398168446,0.07498558991058014,0.08041306780001452,0.06715099003198448,0.06552557717077434,0.06004893379069345,0.06365893384019389
fold 6,0.09224739617148284,0.08542515580044237,0.07958459507587344,0.07196752342590412,0.0640579494918415,0.06625765910220527,0.05890556042986857,0.05559334652444218,0.05752664523978913,0.0516861711904883
fold 7,0.10402802786746518,0.0866400608995951,0.08708414888188112,0.07528962237695448,0.07537915230577075,0.07086552021386058,0.06147387904537365,0.06324217740857843,0.0638966561392556,0.059874612548345224
fold 8,0.08974984632588404,0.08093633915319345,0.06842828376305311,0.06065615947591141,0.06266317771054632,0.06384645714316257,0.049758946956243624,0.04912140238542803,0.04562055065599812,0.042051878920214815
fold 9,0.08396912433564403,0.07197924741803734,0.05835064557424292,0.051216960091382095,0.047650408974393856,0.04574505125475658,0.046440316553682436,0.05520161487118796,0.04003308645482067,0.03083292998882487
fold 10,0.06772661087141091,0.052584390264264376,0.03976281602098065,0.04204779168182096,0.042057996768731794,0.03028626127580051,0.028877917800009315,0.022764562926969902,0.033687464191326545,0.02177456706839473
fold 11,0.08223270196440564,0.06608713222911235,0.06180875602741401,0.053471183660846244,0.044735986138369106,0.04092764389988165,0.04094138084152757,0.036678742961199995,0.035387217388677866,0.028462725974752048
fold 12,0.0797172861734167,0.06101747590650501,0.04820003981842811,0.05156821893463128,0.046387929236516356,0.049447488920292056,0.03478926649082961,0.031049293660840322,0.031090092374861978,0.027867689732121045
fold 13,0.0685275730441411,0.05503807181416642,0.052624274763349056,0.04121269596954483,0.04216041448823891,0.02660244968611487,0.028401684307366025,0.024425424593446647,0.023853349164371963,0.019064129952904442
fold 14,0.08024764079993135,0.0595899594370357,0.05021353713020162,0.041799319227128616,0.03836634395668435,0.031879530908258326,0.030764765973164982,0.02937265605866086,0.02742008075455128,0.024300064475662724
fold 15,0.06330815948976398,0.05342739318270063,0.04172020897859448,0.0377353165693971,0.031875893932518135,0.03167493165698076,0.030672588385641575,0.025279655328377823,0.02050879787955552,0.02258181626242477
fold 16,0.07098463613629276,0.051367751378525416,0.04672276833958296,0.03860213456277432,0.03188714934688949,0.03242484997615467,0.027938943090956916,0.033001439694956836,0.020615446249288398,0.021284442558765496
fold 17,0.05554589164459558,0.0454618678459367,0.03357672765390774,0.030814258186119544,0.02757021180844086,0.021320743540093456,0.0209381023137952,0.014971350009355499,0.018067394959575194,0.015416909146953785
fold 18,0.04794860695594337,0.034045504068693166,0.029748044647465915,0.026050718009490846,0.02309198112384048,0.019539563937605423,0.013934394550867795,0.01136184704828761,0.01144189910878912,0.021425148785902123
fold 19,0.059871543334529,0.04454423378791584,0.036758605885213826,0.032443672130178784,0.025818350352279213,0.027035033620428972,0.02522746689731342,0.019506075390720155,0.01674991915121588,0.015041567756312825
