,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,24.891702765744753,63.77874041986005,82.07264245251584,86.77107630789736,89.07030989670109,90.06997667444185,91.5361546151283,91.93602132622459,92.56914361879373,92.83572142619127
fold 1,93.00233255581473,93.83538820393203,94.06864378540486,94.701766077974,94.701766077974,94.76841052982338,95.5348217260913,95.70143285571476,95.80139953348883,95.86804398533822
fold 2,94.73508830389869,95.16827724091969,95.26824391869377,95.86804398533822,96.00133288903699,95.76807730756414,96.13462179273576,96.50116627790737,96.50116627790737,97.00099966677774
fold 3,95.63478840386537,96.30123292235922,96.23458847050983,96.7344218593802,96.7677440853049,96.16794401866045,96.66777740753082,97.36754415194935,96.83438853715428,96.96767744085305
fold 4,96.33333333333334,96.43333333333334,96.89999999999999,96.8,97.26666666666667,97.26666666666667,97.2,97.76666666666667,97.66666666666667,97.73333333333333
fold 5,96.7,97.3,96.8,97.6,97.8,97.53333333333333,97.86666666666667,97.83333333333334,98.3,97.93333333333332
fold 6,97.0,97.3,97.16666666666667,97.7,97.76666666666667,97.86666666666667,98.13333333333333,98.1,98.4,98.26666666666667
fold 7,96.96666666666667,97.43333333333334,97.36666666666667,97.46666666666667,97.73333333333333,97.83333333333334,98.0,98.2,98.16666666666667,98.3
fold 8,97.23333333333333,97.8,97.89999999999999,97.93333333333332,98.03333333333333,97.8,98.33333333333333,98.46666666666667,98.5,98.93333333333332
fold 9,97.33333333333334,97.73333333333333,98.26666666666667,98.43333333333332,98.56666666666666,98.36666666666667,98.56666666666666,98.2,98.7,99.1
fold 10,97.86666666666667,98.13333333333333,98.43333333333332,98.5,98.6,99.06666666666666,99.1,99.33333333333333,98.9,99.5
fold 11,97.96666666666667,98.23333333333333,98.46666666666667,98.56666666666666,98.8,98.86666666666667,98.86666666666667,99.03333333333333,99.13333333333333,99.26666666666667
fold 12,97.7,98.33333333333333,98.93333333333332,98.4,98.7,98.56666666666666,99.13333333333333,99.13333333333333,99.1,99.16666666666667
fold 13,98.16666666666667,98.43333333333332,98.46666666666667,98.66666666666667,98.63333333333333,99.33333333333333,99.16666666666667,99.3,99.23333333333333,99.43333333333332
fold 14,97.93333333333332,98.5,98.53333333333333,98.5,98.76666666666667,98.93333333333332,98.96666666666667,99.03333333333333,99.06666666666666,99.26666666666667
fold 15,98.36666666666667,98.7,98.96666666666667,98.96666666666667,99.13333333333333,99.26666666666667,98.96666666666667,99.4,99.46666666666667,99.43333333333332
fold 16,98.1993997999333,98.73291097032345,98.73291097032345,99.13304434811604,99.16638879626542,99.0330110036679,99.0330110036679,98.96632210736912,99.49983327775925,99.33311103701233
fold 17,98.53284428142715,98.66622207402467,99.13304434811604,99.06635545181727,99.13304434811604,99.3997999333111,99.3997999333111,99.56652217405801,99.36645548516172,99.46648882960987
fold 18,98.6328776258753,99.16638879626542,99.1997332444148,99.09969989996665,99.13304434811604,99.3997999333111,99.6332110703568,99.66655551850617,99.69989996665555,99.46648882960987
fold 19,98.36612204068022,98.79959986662222,99.06635545181727,99.06635545181727,99.26642214071357,99.06635545181727,99.23307769256418,99.36645548516172,99.53317772590864,99.53317772590864
