,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,30.423192269243586,64.34521826057981,74.97500833055648,79.57347550816395,82.77240919693436,85.10496501166278,87.30423192269244,88.80373208930357,89.80339886704431,91.13628790403199
fold 1,91.56947684105297,92.80239920026658,93.30223258913696,93.5021659446851,94.00199933355549,93.56881039653449,94.50183272242586,94.96834388537154,95.00166611129623,95.16827724091969
fold 2,94.20193268910363,95.10163278907031,94.63512162612463,95.33488837054314,94.36854381872709,96.16794401866045,95.9680106631123,95.5348217260913,96.3678773742086,96.26791069643453
fold 3,95.30156614461846,95.66811062979006,96.03465511496168,95.134955014995,96.46784405198268,96.56781072975674,97.03432189270244,96.93435521492836,97.13428857047651,97.13428857047651
fold 4,95.83333333333334,96.6,96.83333333333334,96.89999999999999,96.73333333333333,96.46666666666667,96.86666666666667,97.03333333333333,97.7,97.33333333333334
fold 5,96.6,97.0,97.39999999999999,97.5,97.39999999999999,98.1,97.53333333333333,98.2,98.3,97.96666666666667
fold 6,96.76666666666667,96.93333333333334,96.73333333333333,97.33333333333334,97.36666666666667,98.0,97.8,98.36666666666667,97.96666666666667,98.13333333333333
fold 7,96.6,97.2,97.3,97.3,97.3,97.5,98.0,98.0,98.03333333333333,97.8
fold 8,96.7,97.63333333333334,97.8,97.43333333333334,98.13333333333333,98.1,98.63333333333333,98.3,98.36666666666667,98.66666666666667
fold 9,97.93333333333332,98.33333333333333,98.73333333333333,99.0,98.83333333333333,98.83333333333333,98.83333333333333,98.83333333333333,98.66666666666667,99.2
fold 10,97.53333333333333,98.0,98.23333333333333,98.13333333333333,98.63333333333333,98.7,98.5,99.0,98.7,99.0
fold 11,97.6,97.76666666666667,97.93333333333332,98.33333333333333,98.36666666666667,98.53333333333333,98.46666666666667,98.36666666666667,98.73333333333333,98.93333333333332
fold 12,97.6,98.03333333333333,98.26666666666667,98.43333333333332,98.73333333333333,98.8,98.7,98.8,98.73333333333333,99.03333333333333
fold 13,97.53333333333333,97.83333333333334,98.5,98.53333333333333,98.83333333333333,98.83333333333333,98.76666666666667,99.3,99.1,99.16666666666667
fold 14,97.5,98.26666666666667,98.33333333333333,98.8,98.96666666666667,98.86666666666667,99.06666666666666,99.1,99.2,99.23333333333333
fold 15,98.06666666666666,98.46666666666667,98.73333333333333,99.0,99.2,98.86666666666667,99.13333333333333,99.36666666666667,99.53333333333333,99.33333333333333
fold 16,97.93264421473825,98.53284428142715,98.46615538512837,98.6328776258753,98.83294431477158,98.86628876292097,98.93297765921974,99.23307769256418,99.16638879626542,99.1997332444148
fold 17,97.86595531843948,98.56618872957652,98.46615538512837,98.89963321107035,98.86628876292097,98.89963321107035,99.1997332444148,99.29976658886297,99.53317772590864,99.36645548516172
fold 18,97.89929976658887,98.49949983327775,99.09969989996665,98.96632210736912,99.3997999333111,99.3997999333111,99.26642214071357,98.9996665555185,99.33311103701233,99.29976658886297
fold 19,97.99933311103702,98.66622207402467,98.6328776258753,99.09969989996665,99.23307769256418,99.1997332444148,99.26642214071357,99.4331443814605,99.56652217405801,99.29976658886297
