,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9
fold 0,18.593802065978007,55.08163945351549,70.80973008997002,78.74041986004666,82.00599800066645,85.50483172275908,86.10463178940353,85.70476507830723,90.20326557814062,90.13662112629123
fold 1,91.56947684105297,92.36921026324558,92.53582139286904,92.23592135954681,93.70209930023326,94.20193268910363,94.36854381872709,94.73508830389869,93.83538820393203,95.03498833722092
fold 2,93.9353548817061,94.76841052982338,94.80173275574808,94.93502165944685,95.43485504831722,95.66811062979006,95.43485504831722,95.76807730756414,96.03465511496168,95.80139953348883
fold 3,95.20159946684439,95.40153282239253,95.80139953348883,95.66811062979006,96.16794401866045,96.13462179273576,96.46784405198268,96.56781072975674,95.83472175941353,96.53448850383207
fold 4,95.53333333333333,95.93333333333334,95.73333333333333,96.73333333333333,96.63333333333334,96.56666666666666,96.83333333333334,96.8,97.16666666666667,97.1
fold 5,95.86666666666666,96.8,96.33333333333334,96.96666666666667,97.0,97.2,97.6,97.53333333333333,97.96666666666667,97.86666666666667
fold 6,96.2,97.1,96.76666666666667,97.03333333333333,97.46666666666667,97.5,97.6,97.83333333333334,97.76666666666667,97.7
fold 7,96.16666666666667,96.7,97.03333333333333,97.43333333333334,97.7,97.26666666666667,97.7,97.6,97.89999999999999,98.0
fold 8,97.03333333333333,97.5,97.5,97.89999999999999,98.16666666666667,98.1,98.63333333333333,98.5,98.73333333333333,98.46666666666667
fold 9,97.53333333333333,98.1,98.4,98.56666666666666,98.66666666666667,98.66666666666667,98.83333333333333,98.73333333333333,98.7,99.16666666666667
fold 10,97.46666666666667,98.16666666666667,98.3,98.56666666666666,98.63333333333333,98.5,98.8,99.13333333333333,99.0,99.2
fold 11,97.89999999999999,98.03333333333333,98.4,98.8,98.53333333333333,98.86666666666667,99.06666666666666,99.23333333333333,98.96666666666667,99.16666666666667
fold 12,98.2,97.83333333333334,98.36666666666667,98.63333333333333,98.63333333333333,99.0,99.16666666666667,99.0,98.96666666666667,99.13333333333333
fold 13,97.63333333333334,98.26666666666667,98.16666666666667,98.4,98.6,99.0,99.0,99.36666666666667,98.83333333333333,99.56666666666666
fold 14,97.89999999999999,98.13333333333333,98.3,98.46666666666667,98.86666666666667,98.56666666666666,98.9,99.1,99.2,99.16666666666667
fold 15,97.93333333333332,98.63333333333333,98.96666666666667,99.13333333333333,98.63333333333333,99.13333333333333,99.1,99.2,99.2,99.4
fold 16,97.79926642214072,98.432810936979,98.73291097032345,98.46615538512837,98.76625541847282,98.89963321107035,98.79959986662222,98.83294431477158,99.29976658886297,99.4331443814605
fold 17,98.36612204068022,98.79959986662222,98.93297765921974,99.23307769256418,99.26642214071357,99.3997999333111,99.6332110703568,99.6332110703568,99.5998666222074,99.5998666222074
fold 18,98.36612204068022,98.79959986662222,98.83294431477158,99.0330110036679,98.9996665555185,99.4331443814605,99.26642214071357,99.53317772590864,99.53317772590864,99.23307769256418
fold 19,98.432810936979,98.93297765921974,98.9996665555185,99.09969989996665,99.66655551850617,99.53317772590864,99.76658886295432,99.76658886295432,99.86662220740247,99.86662220740247
