,gelu,relu,silu,tanh,sigmoid,leakyrelu
gelu,0.0,,,,,
relu,,0.0,0.2595547928231021,,0.03659611650577971,0.30067903230224546
silu,,0.2595547928231021,0.0,,0.28926918631410264,0.06907737880879194
tanh,,,,0.0,,
sigmoid,,0.03659611650577971,0.28926918631410264,,0.0,0.3297121026527632
leakyrelu,,0.30067903230224546,0.06907737880879194,,0.3297121026527632,0.0
